region;west;east;south;north;lon;lat
1075;-74.0222464;-74.0111348;40.6974368;40.705825;-74.0166906;40.7016309
1076;-74.0222464;-74.0111348;40.705825;40.7142132;-74.0166906;40.7100191
1077;-74.0222464;-74.0111348;40.7142132;40.7226014;-74.0166906;40.7184073
1125;-74.0111348;-74.0000232;40.6974368;40.705825;-74.005579;40.7016309
1126;-74.0111348;-74.0000232;40.705825;40.7142132;-74.005579;40.7100191
1127;-74.0111348;-74.0000232;40.7142132;40.7226014;-74.005579;40.7184073
1128;-74.0111348;-74.0000232;40.7226014;40.7309896;-74.005579;40.7267955
1129;-74.0111348;-74.0000232;40.7309896;40.7393778;-74.005579;40.7351837
1130;-74.0111348;-74.0000232;40.7393778;40.747766;-74.005579;40.7435719
1131;-74.0111348;-74.0000232;40.747766;40.7561542;-74.005579;40.7519601
1132;-74.0111348;-74.0000232;40.7561542;40.7645424;-74.005579;40.7603483
1172;-74.0000232;-73.9889116;40.6722722;40.6806604;-73.9944674;40.6764663
1173;-74.0000232;-73.9889116;40.6806604;40.6890486;-73.9944674;40.6848545
1174;-74.0000232;-73.9889116;40.6890486;40.6974368;-73.9944674;40.6932427
1175;-74.0000232;-73.9889116;40.6974368;40.705825;-73.9944674;40.7016309
1176;-74.0000232;-73.9889116;40.705825;40.7142132;-73.9944674;40.7100191
1177;-74.0000232;-73.9889116;40.7142132;40.7226014;-73.9944674;40.7184073
1178;-74.0000232;-73.9889116;40.7226014;40.7309896;-73.9944674;40.7267955
1179;-74.0000232;-73.9889116;40.7309896;40.7393778;-73.9944674;40.7351837
1180;-74.0000232;-73.9889116;40.7393778;40.747766;-73.9944674;40.7435719
1181;-74.0000232;-73.9889116;40.747766;40.7561542;-73.9944674;40.7519601
1182;-74.0000232;-73.9889116;40.7561542;40.7645424;-73.9944674;40.7603483
1183;-74.0000232;-73.9889116;40.7645424;40.7729306;-73.9944674;40.7687365
1184;-74.0000232;-73.9889116;40.7729306;40.7813188;-73.9944674;40.7771247
1221;-73.9889116;-73.9778;40.663884;40.6722722;-73.9833558;40.6680781
1222;-73.9889116;-73.9778;40.6722722;40.6806604;-73.9833558;40.6764663
1223;-73.9889116;-73.9778;40.6806604;40.6890486;-73.9833558;40.6848545
1224;-73.9889116;-73.9778;40.6890486;40.6974368;-73.9833558;40.6932427
1225;-73.9889116;-73.9778;40.6974368;40.705825;-73.9833558;40.7016309
1227;-73.9889116;-73.9778;40.7142132;40.7226014;-73.9833558;40.7184073
1228;-73.9889116;-73.9778;40.7226014;40.7309896;-73.9833558;40.7267955
1229;-73.9889116;-73.9778;40.7309896;40.7393778;-73.9833558;40.7351837
1230;-73.9889116;-73.9778;40.7393778;40.747766;-73.9833558;40.7435719
1231;-73.9889116;-73.9778;40.747766;40.7561542;-73.9833558;40.7519601
1232;-73.9889116;-73.9778;40.7561542;40.7645424;-73.9833558;40.7603483
1233;-73.9889116;-73.9778;40.7645424;40.7729306;-73.9833558;40.7687365
1234;-73.9889116;-73.9778;40.7729306;40.7813188;-73.9833558;40.7771247
1235;-73.9889116;-73.9778;40.7813188;40.789707;-73.9833558;40.7855129
1272;-73.9778;-73.9666884;40.6722722;40.6806604;-73.9722442;40.6764663
1273;-73.9778;-73.9666884;40.6806604;40.6890486;-73.9722442;40.6848545
1274;-73.9778;-73.9666884;40.6890486;40.6974368;-73.9722442;40.6932427
1278;-73.9778;-73.9666884;40.7226014;40.7309896;-73.9722442;40.7267955
1279;-73.9778;-73.9666884;40.7309896;40.7393778;-73.9722442;40.7351837
1280;-73.9778;-73.9666884;40.7393778;40.747766;-73.9722442;40.7435719
1281;-73.9778;-73.9666884;40.747766;40.7561542;-73.9722442;40.7519601
1282;-73.9778;-73.9666884;40.7561542;40.7645424;-73.9722442;40.7603483
1283;-73.9778;-73.9666884;40.7645424;40.7729306;-73.9722442;40.7687365
1284;-73.9778;-73.9666884;40.7729306;40.7813188;-73.9722442;40.7771247
1285;-73.9778;-73.9666884;40.7813188;40.789707;-73.9722442;40.7855129
1286;-73.9778;-73.9666884;40.789707;40.7980952;-73.9722442;40.7939011
1287;-73.9778;-73.9666884;40.7980952;40.8064834;-73.9722442;40.8022893
1326;-73.9666884;-73.9555768;40.705825;40.7142132;-73.9611326;40.7100191
1327;-73.9666884;-73.9555768;40.7142132;40.7226014;-73.9611326;40.7184073
1331;-73.9666884;-73.9555768;40.747766;40.7561542;-73.9611326;40.7519601
1332;-73.9666884;-73.9555768;40.7561542;40.7645424;-73.9611326;40.7603483
1333;-73.9666884;-73.9555768;40.7645424;40.7729306;-73.9611326;40.7687365
1334;-73.9666884;-73.9555768;40.7729306;40.7813188;-73.9611326;40.7771247
1335;-73.9666884;-73.9555768;40.7813188;40.789707;-73.9611326;40.7855129
1336;-73.9666884;-73.9555768;40.789707;40.7980952;-73.9611326;40.7939011
1337;-73.9666884;-73.9555768;40.7980952;40.8064834;-73.9611326;40.8022893
1338;-73.9666884;-73.9555768;40.8064834;40.8148716;-73.9611326;40.8106775
1339;-73.9666884;-73.9555768;40.8148716;40.8232598;-73.9611326;40.8190657
1376;-73.9555768;-73.9444652;40.705825;40.7142132;-73.950021;40.7100191
1377;-73.9555768;-73.9444652;40.7142132;40.7226014;-73.950021;40.7184073
1378;-73.9555768;-73.9444652;40.7226014;40.7309896;-73.950021;40.7267955
1380;-73.9555768;-73.9444652;40.7393778;40.747766;-73.950021;40.7435719
1382;-73.9555768;-73.9444652;40.7561542;40.7645424;-73.950021;40.7603483
1383;-73.9555768;-73.9444652;40.7645424;40.7729306;-73.950021;40.7687365
1384;-73.9555768;-73.9444652;40.7729306;40.7813188;-73.950021;40.7771247
1385;-73.9555768;-73.9444652;40.7813188;40.789707;-73.950021;40.7855129
1386;-73.9555768;-73.9444652;40.789707;40.7980952;-73.950021;40.7939011
1387;-73.9555768;-73.9444652;40.7980952;40.8064834;-73.950021;40.8022893
1388;-73.9555768;-73.9444652;40.8064834;40.8148716;-73.950021;40.8106775
1389;-73.9555768;-73.9444652;40.8148716;40.8232598;-73.950021;40.8190657
1390;-73.9555768;-73.9444652;40.8232598;40.831648;-73.950021;40.8274539
1426;-73.9444652;-73.9333536;40.705825;40.7142132;-73.9389094;40.7100191
1431;-73.9444652;-73.9333536;40.747766;40.7561542;-73.9389094;40.7519601
1434;-73.9444652;-73.9333536;40.7729306;40.7813188;-73.9389094;40.7771247
1435;-73.9444652;-73.9333536;40.7813188;40.789707;-73.9389094;40.7855129
1436;-73.9444652;-73.9333536;40.789707;40.7980952;-73.9389094;40.7939011
1437;-73.9444652;-73.9333536;40.7980952;40.8064834;-73.9389094;40.8022893
1438;-73.9444652;-73.9333536;40.8064834;40.8148716;-73.9389094;40.8106775
1439;-73.9444652;-73.9333536;40.8148716;40.8232598;-73.9389094;40.8190657
1441;-73.9444652;-73.9333536;40.831648;40.8400362;-73.9389094;40.8358421
1442;-73.9444652;-73.9333536;40.8400362;40.8484244;-73.9389094;40.8442303
1480;-73.9333536;-73.922242;40.7393778;40.747766;-73.9277978;40.7435719
1482;-73.9333536;-73.922242;40.7561542;40.7645424;-73.9277978;40.7603483
1483;-73.9333536;-73.922242;40.7645424;40.7729306;-73.9277978;40.7687365
1530;-73.922242;-73.9111304;40.7393778;40.747766;-73.9166862;40.7435719
1532;-73.922242;-73.9111304;40.7561542;40.7645424;-73.9166862;40.7603483
1533;-73.922242;-73.9111304;40.7645424;40.7729306;-73.9166862;40.7687365
1580;-73.9111304;-73.9000188;40.7393778;40.747766;-73.9055746;40.7435719
1630;-73.9000188;-73.8889072;40.7393778;40.747766;-73.894463;40.7435719
1684;-73.8889072;-73.8777956;40.7729306;40.7813188;-73.8833514;40.7771247
1733;-73.8777956;-73.866684;40.7645424;40.7729306;-73.8722398;40.7687365
1734;-73.8777956;-73.866684;40.7729306;40.7813188;-73.8722398;40.7771247
1783;-73.866684;-73.8555724;40.7645424;40.7729306;-73.8611282;40.7687365
2068;-73.8000144;-73.7889028;40.6387194;40.6471076;-73.7944586;40.6429135
2069;-73.8000144;-73.7889028;40.6471076;40.6554958;-73.7944586;40.6513017
2118;-73.7889028;-73.7777912;40.6387194;40.6471076;-73.783347;40.6429135
2119;-73.7889028;-73.7777912;40.6471076;40.6554958;-73.783347;40.6513017
2168;-73.7777912;-73.7666796;40.6387194;40.6471076;-73.7722354;40.6429135
